Serial Number,Start Time,Remaining Seconds,Device's Remaining Lifetime,Event Type,Channel,Duration,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,H2S STEL,CO TWA,CO STEL,Start Time in UTC,Temperature,Battery Voltage in Alarm,Firmware Version,H2S Low Alarm Pt,H2S High Alarm Pt,H2S TWA Alarm Pt,H2S STEL Alarm Pt,CO Low Alarm Pt,CO High Alarm Pt,CO Twa Alarm Pt,CO STEL Alarm Pt,O2 Low Alarm Pt,O2 High Alarm Pt,LEL Low alarm Pt,LEL High Alarm Pt,O2 Low Trigger,O2 High Trigger,Total Self Tests,Total event time(seconds),Total Event Count,Number of event transfered,Device Status
KO20BC401163500013,1992-06-15 6:01,Calibrating Battery Low STEL Alarm TWA Alarm Down-scale Alarm ,,2.6,299.5,-1130.8,1696.7,54228,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:10,Battery Low Multi Alarm High Alarm Low Alarm STEL Alarm ,,0,19.2,0,4.7,426,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2095-10-01 23:08,Calibrating Battery Low High Alarm STEL Alarm Down-scale Alarm ,,94.3,1.2,2.6,299.5,54228,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-06 16:37,Multi Alarm High Alarm STEL Alarm ,,384,50.3,465,12.5,296,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-02-28 12:51,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,259.1,-1539,94.3,39.6,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-06 16:38,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-1129.8,1698.1,102.4,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-09-10 20:44,STEL Alarm ,,48.4,20.8,193,-1599,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,Calibrating Reserved Multi Alarm High Alarm Low Alarm STEL Alarm TWA Alarm ,,-1129.8,1699.1,-1129.8,1699.1,3840,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-07 22:15,Auto Zeroing Reserved ,,42,6,54.3,42,3923,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-06-07 15:58,Calibrating Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,2.6,299.5,-1128.8,1701.5,54248,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-06-21 22:43,Calibrating High Alarm TWA Alarm Down-scale Alarm ,,840,22.5,52.8,6.9,627,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2093-02-27 9:04,Calibrating Battery Low Low Alarm Down-scale Alarm ,,94.3,43.2,2.6,299.5,54259,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-10-28 14:11,Battery Low Low Alarm Down-scale Alarm ,,153.6,4.4,36,2.1,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-05-12 2:45,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,347.3,-1723.8,94.3,12.8,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-26 9:57,Reserved Multi Alarm High Alarm Low Alarm STEL Alarm TWA Alarm ,,-1127.3,1700.7,153.6,2.6,760,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-09-26 19:03,Calibrating Auto Zeroing Battery Low Multi Alarm High Alarm Low Alarm STEL Alarm ,,70.8,1.2,50.9,-1751.6,943,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,,,-1143.1,1696.3,-1143.1,1696.3,769,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-01-07 4:37,Calibrating Reserved Battery Low Multi Alarm Low Alarm ,,0,7.5,71,57,5280,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2016-06-15 10:47,Calibrating Battery Low High Alarm ,,2.5,299.5,-728.8,1697.6,58248,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:10,TWA Alarm ,,0,1,0,0.2,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2018-01-17 11:08,Calibrating Battery Low Multi Alarm High Alarm STEL Alarm ,,94.1,39.6,2.4,299.5,58256,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-30 6:05,STEL Alarm ,,179.2,25.3,237,6.4,140,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-10-24 20:35,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,104.1,1222.7,94.1,48.4,25,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-24 4:27,Reserved Battery Low TWA Alarm ,,-727.1,1700.4,102.4,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:42,STEL Alarm ,,2,11.1,104.1,1169.5,941,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,Auto Zeroing Reserved Battery Low Multi Alarm High Alarm Low Alarm STEL Alarm ,,-727.1,1701.2,-727.1,1701.2,3840,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-10-28 16:55,Auto Zeroing Reserved Multi Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,29,1.1,7.9,31.7,2971,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-07-09 12:34,Calibrating Battery Low Low Alarm TWA Alarm ,,2.6,299.5,-726,1697,58276,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-08-20 21:09,Auto Zeroing Reserved STEL Alarm TWA Alarm ,,928,24.7,55.2,1.3,98,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2014-07-27 17:54,Calibrating Battery Low High Alarm Low Alarm STEL Alarm ,,94.1,20.4,2.6,299.5,58281,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-12 1:11,High Alarm Low Alarm ,,384,76.2,706,18.3,412,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-08-20 23:48,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,473.6,1075.1,94.1,46.4,26,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-15 2:00,Reserved Battery Low Multi Alarm Low Alarm TWA Alarm Down-scale Alarm ,,-724.5,1699.2,384,95.4,8820,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-28 5:11,Auto Zeroing Reserved Battery Low High Alarm STEL Alarm TWA Alarm ,,30.5,63.2,592.1,1014.7,941,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,Multi Alarm Low Alarm ,,-723.1,1700.2,-723.1,1700.2,3072,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-08 11:47,Auto Zeroing Battery Low Down-scale Alarm ,,76.2,4.2,37.1,32.4,3060,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-06-12 5:12,Calibrating Battery Low High Alarm ,,2.7,299.5,-722.3,1697.6,58313,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:10,Auto Zeroing STEL Alarm Down-scale Alarm ,,0,19.3,0,4.2,372,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2010-06-12 7:33,Calibrating Battery Low Multi Alarm TWA Alarm ,,94.1,1,2.7,299.5,58313,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-16 14:25,Multi Alarm Low Alarm TWA Alarm ,,102.4,0,0,1,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 5:13,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,2.3,906.5,94.1,32.8,27,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-16 14:25,Reserved Multi Alarm High Alarm Low Alarm TWA Alarm Down-scale Alarm ,,-721.7,1699.4,102.4,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-09-02 12:29,Multi Alarm Low Alarm STEL Alarm ,,37.2,0.5,1.6,870.5,941,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,,,-727.6,1700.2,-727.6,1700.2,769,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-01-07 4:37,Calibrating Reserved Battery Low High Alarm Low Alarm STEL Alarm Down-scale Alarm ,,0,4.2,37,67.8,6290,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1999-10-09 12:17,Calibrating Battery Low High Alarm Low Alarm STEL Alarm ,,2.7,299.5,-702.9,1698.8,58507,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-01 16:28,STEL Alarm ,,0,20.9,51.4,0.1,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2123-11-05 10:21,Calibrating Battery Low Multi Alarm High Alarm STEL Alarm ,,94,0.2,2.9,299.5,58597,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-30 6:11,TWA Alarm ,,102.4,0,0,2.8,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-05 10:55,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,-703.3,94,7.4,51,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-24 4:32,Reserved STEL Alarm Down-scale Alarm ,,-693.4,1700.4,384,50.3,4560,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-09 5:59,Calibrating TWA Alarm ,,7,26.1,240,-732.5,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:13,Auto Zeroing Reserved Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,-692.1,1698.4,-692.1,1698.4,1792,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-11-06 19:19,Battery Low Multi Alarm Low Alarm TWA Alarm Down-scale Alarm ,,19.6,1.5,11.7,33,3008,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-07-06 11:45,Calibrating Battery Low Multi Alarm High Alarm ,,5.1,299.5,-690.8,1700.8,58628,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-29 17:53,Reserved Battery Low Multi Alarm Low Alarm STEL Alarm Down-scale Alarm ,,55,19.4,0,1.8,140,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2109-09-21 12:43,Calibrating Battery Low Multi Alarm Low Alarm STEL Alarm ,,94,13.6,5.1,299.5,58604,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-24 4:33,High Alarm TWA Alarm Down-scale Alarm ,,76.9,0,0,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-04-19 8:28,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,311,-744.5,94,190,51,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-01 10:50,Reserved TWA Alarm ,,-543,1697.4,384,47.1,4500,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 23:25,Auto Zeroing Reserved Battery Low Multi Alarm High Alarm Low Alarm STEL Alarm ,,5.8,21.8,210.2,256.1,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-21 4:24,,,-542.8,1699.6,-542.8,1699.6,769,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-01-07 4:37,Auto Zeroing Battery Low Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,0.8,7,22.1,2120,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-11-28 5:08,Calibrating Battery Low Multi Alarm High Alarm ,,-1.1,299.5,-540.7,1700.8,60129,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-13 19:27,STEL Alarm TWA Alarm ,,-9,19.5,0,0.8,66,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-12-18 16:23,Calibrating Battery Low Multi Alarm High Alarm Low Alarm TWA Alarm ,,94,0.2,-0.5,299.5,60129,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-12-04 19:50,Low Alarm ,,102.4,1.6,-9,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 5:08,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0.8,113.7,94,0.2,65531,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-07 12:28,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.6,1698.2,102.4,1.7,65436,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm ,,6.6,0.6,0.4,111.3,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-21 4:24,High Alarm Down-scale Alarm ,,-540.6,1699.4,-540.6,1699.4,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,Battery Low Low Alarm STEL Alarm Down-scale Alarm ,,0,0.8,6.6,0.6,1,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low Multi Alarm Low Alarm STEL Alarm ,,-0.4,299.5,-540.6,1700.4,60130,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-13 19:27,STEL Alarm TWA Alarm ,,-11,19.5,0,0.8,66,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-11-06 4:56,Calibrating Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm ,,94,0.6,-0.3,299.5,60130,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-12-01 19:01,Low Alarm ,,102.4,1.7,-11,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 5:08,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,108.1,94,0.6,65533,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-10-24 20:47,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.5,1696.4,102.4,1.6,65426,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm ,,6.6,0.6,0,107.1,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-21 4:24,High Alarm Down-scale Alarm ,,-540.5,1697.2,-540.5,1697.2,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,Multi Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,0,0.8,6.6,0.6,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low High Alarm STEL Alarm ,,-0.3,299.5,-540.5,1698,60131,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-10-09 21:35,Calibrating Battery Low High Alarm Low Alarm STEL Alarm ,,94,0.6,-0.2,299.5,60131,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-12 1:42,Low Alarm ,,102.4,1.6,-11,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 5:08,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,104.7,94,0.6,65534,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-19 15:44,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.5,1699.8,102.4,1.7,65426,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm TWA Alarm ,,6.6,0.6,0,103.7,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-21 4:24,High Alarm Down-scale Alarm ,,-540.5,1700.8,-540.5,1700.8,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,TWA Alarm Down-scale Alarm ,,0,0.8,6.6,0.6,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low Multi Alarm High Alarm Low Alarm ,,-0.2,299.5,-540.5,1701.6,60131,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-14 13:39,STEL Alarm TWA Alarm ,,-11,19.5,0,0.8,66,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
